Entity ID,Beginning Date,Ending Date,Agency,Vendor,Vendor ID,Map Projection,Datum,Resolution,Resolution Unit,File Format,Product Type,Center Latitude,Center Longitude,NW Corner Lat,NW Corner Long,NE  Corner Lat,NE  Corner Long,SE Corner Lat,SE Corner Long,SW Corner Lat,SW Corner Long,Center Latitude dec,Center Longitude dec,NW  Corner Lat dec,NW Corner Long dec,NE Corner Lat dec,NE Corner Long dec,SE Corner Lat dec,SE Corner Long dec,SW Corner Lat dec,SW Corner Long dec,Display ID
IFSARAK2010N6200W14415_01,2010/06/10,2010/07/02,USGS,IntermapTechnologiesInc.,ORI_n6200w14415P,AlbersConicalEqualArea,NAD83,0.625,METER,GEOTIFF,ORI,62°07'29.98"N,144°07'28.03"W,62°16'17.92"N,144°15'07.04"W,62°14'52.08"N,143°54'35.46"W,61°58'41.67"N,143°59'53.36"W,62°00'06.74"N,144°20'14.48"W,62.1249943,-144.1244527,62.2716443,-144.2519555,62.2477999,-143.90985,61.9782416,-143.9981555,62.0018722,-144.3373555,IFSARAK2010N6200W14415_01,IFSARAK2010N6200W14415_01
IFSARAK2010N6200W14430_01,2010/06/10,2010/07/02,USGS,IntermapTechnologiesInc.,ORI_n6200w14430P,AlbersConicalEqualArea,NAD83,0.625,METER,GEOTIFF,ORI,62°07'29.98"N,144°22'28.19"W,62°16'16.32"N,144°30'08.22"W,62°14'53.12"N,144°09'42.82"W,61°58'43.26"N,144°14'52.49"W,62°00'05.74"N,144°35'07.47"W,62.1249943,-144.3744971,62.2711999,-144.5022833,62.2480888,-144.1618944,61.9786832,-144.2479138,62.0015944,-144.5854083,IFSARAK2010N6200W14430_01,IFSARAK2010N6200W14430_01
IFSARAK2010N6200W14445_01,2010/06/10,2010/07/02,USGS,IntermapTechnologiesInc.,ORI_n6200w14445P,AlbersConicalEqualArea,NAD83,0.625,METER,GEOTIFF,ORI,62°07'30.01"N,144°37'28.02"W,62°16'14.77"N,144°45'09.22"W,62°14'54.14"N,144°24'49.69"W,61°58'44.87"N,144°29'51.15"W,62°00'04.79"N,144°50'00.30"W,62.1250027,-144.6244499,62.2707693,-144.7525611,62.2483721,-144.4138027,61.9791304,-144.4975416,62.0013305,-144.8334166,IFSARAK2010N6200W14445_01,IFSARAK2010N6200W14445_01
IFSARAK2010N6200W14500_01,2010/06/10,2010/07/02,USGS,IntermapTechnologiesInc.,ORI_n6200w14500P,AlbersConicalEqualArea,NAD83,0.625,METER,GEOTIFF,ORI,62°07'29.94"N,144°52'28.09"W,62°16'13.11"N,145°00'10.10"W,62°14'55.08"N,144°39'57.16"W,61°58'46.40"N,144°44'50.41"W,62°00'03.74"N,145°04'53.02"W,62.1249832,-144.8744693,62.2703082,-145.0028055,62.2486333,-144.6658777,61.9795554,-144.747336,62.0010388,-145.0813943,IFSARAK2010N6200W14500_01,IFSARAK2010N6200W14500_01
IFSARAK2010N6200W14515_01,2010/06/10,2010/06/23,USGS,IntermapTechnologiesInc.,ORI_n6200w14515P,AlbersConicalEqualArea,NAD83,0.625,METER,GEOTIFF,ORI,62°07'30.01"N,145°07'28.18"W,62°16'11.51"N,145°15'11.18"W,62°14'56.04"N,144°55'04.50"W,61°58'48.12"N,144°59'49.51"W,62°00'02.93"N,145°19'45.91"W,62.1250027,-145.1244943,62.2698638,-145.2531055,62.2488999,-144.9179166,61.9800332,-144.997086,62.0008138,-145.3294193,IFSARAK2010N6200W14515_01,IFSARAK2010N6200W14515_01
IFSARAK2010N6200W14530_01,2010/06/10,2010/06/23,USGS,IntermapTechnologiesInc.,ORI_n6200w14530P,AlbersConicalEqualArea,NAD83,0.625,METER,GEOTIFF,ORI,62°07'30.03"N,145°22'28.18"W,62°16'09.96"N,145°30'12.12"W,62°14'57.02"N,145°10'11.73"W,61°58'49.73"N,145°14'48.56"W,62°00'02.02"N,145°34'38.72"W,62.1250082,-145.3744943,62.2694332,-145.5033666,62.2491721,-145.1699249,61.9804804,-145.2468221,62.0005611,-145.5774221,IFSARAK2010N6200W14530_01,IFSARAK2010N6200W14530_01
IFSARAK2010N6200W14545_01,2010/06/10,2010/06/23,USGS,IntermapTechnologiesInc.,ORI_n6200w14545P,AlbersConicalEqualArea,NAD83,0.625,METER,GEOTIFF,ORI,62°07'30.02"N,145°37'28.09"W,62°16'08.29"N,145°45'12.98"W,62°14'57.86"N,145°25'18.90"W,61°58'51.37"N,145°29'47.53"W,62°00'01.18"N,145°49'31.43"W,62.1250054,-145.6244693,62.2689693,-145.7536055,62.2494055,-145.4219166,61.980936,-145.496536,62.0003277,-145.8253971,IFSARAK2010N6200W14545_01,IFSARAK2010N6200W14545_01
IFSARAK2010N6200W14600_01,2010/06/10,2010/06/23,USGS,IntermapTechnologiesInc.,ORI_n6200w14600P,AlbersConicalEqualArea,NAD83,0.625,METER,GEOTIFF,ORI,62°07'29.97"N,145°52'27.94"W,62°16'06.67"N,146°00'13.72"W,62°14'58.73"N,145°40'25.99"W,61°58'52.88"N,145°44'46.46"W,62°00'00.23"N,146°04'24.08"W,62.1249916,-145.8744277,62.2685193,-146.0038111,62.2496471,-145.673886,61.9813554,-145.7462388,62.0000638,-146.0733554,IFSARAK2010N6200W14600_01,IFSARAK2010N6200W14600_01
IFSARAK2010N6215W14415_01,2010/06/10,2010/07/02,USGS,IntermapTechnologiesInc.,ORI_n6215w14415P,AlbersConicalEqualArea,NAD83,0.625,METER,GEOTIFF,ORI,62°22'29.92"N,144°07'28.13"W,62°31'17.44"N,144°15'07.34"W,62°29'52.10"N,143°54'32.94"W,62°13'42.04"N,143°59'53.29"W,62°15'06.63"N,144°20'17.12"W,62.3749777,-144.1244804,62.521511,-144.2520388,62.4978055,-143.90915,62.2283443,-143.998136,62.2518416,-144.3380888,IFSARAK2010N6215W14415_01,IFSARAK2010N6215W14415_01
IFSARAK2010N6215W14430_01,2010/06/10,2010/07/02,USGS,IntermapTechnologiesInc.,ORI_n6215w14430P,AlbersConicalEqualArea,NAD83,0.625,METER,GEOTIFF,ORI,62°22'29.98"N,144°22'28.03"W,62°31'15.84"N,144°30'08.46"W,62°29'53.08"N,144°09'39.96"W,62°13'43.75"N,144°14'51.97"W,62°15'05.77"N,144°35'09.94"W,62.3749943,-144.3744527,62.5210666,-144.50235,62.4980777,-144.1611,62.2288193,-144.2477694,62.2516027,-144.5860944,IFSARAK2010N6215W14430_01,IFSARAK2010N6215W14430_01
